Motion Through Fluids Experiment Thu, Nov 2, 2023 3:34 PM
Time(sec)	Position(mm)
0.022	53.809
0.072	58.525
0.122	18.609
0.172	66.483
0.222	71.157
0.272	76.018
0.322	80.864
0.372	18.822
0.422	90.516
0.472	95.524
0.522	18.397
0.572	105.105
0.622	110.080
0.672	114.847
0.722	119.805
0.772	18.609
0.822	129.497
0.872	134.433
0.922	18.609
0.972	144.486
1.022	149.604
1.072	154.719
1.122	159.831
1.172	164.745
1.222	169.856
1.272	174.966
1.322	180.078
1.372	185.193
1.422	18.609
1.472	18.822
1.522	200.360
1.572	205.492
1.622	210.630
1.672	215.579
1.722	18.609
1.772	225.698
1.822	230.873
1.872	235.858
1.922	240.856
1.972	246.067
2.022	251.093
2.072	256.132
2.122	261.186
2.172	266.258
2.222	18.609
2.272	276.456
2.322	281.584
2.372	286.732
2.422	0.000
2.472	0.000
2.522	0.000
2.572	0.000
2.622	0.000
2.672	0.000
2.722	0.000
2.772	0.000
2.822	0.000
2.872	0.000
2.922	0.000
2.972	0.000
3.022	0.000
3.072	0.000
3.122	18.609
3.172	0.000
3.222	0.000
3.272	0.000
3.322	0.000
3.372	0.000
