Motion Through Fluids Experiment Thu, Nov 2, 2023 3:40 PM
Time(sec)	Position(mm)
0.046	47.983
0.096	51.689
0.146	55.591
0.196	18.184
0.246	63.153
0.296	67.022
0.346	70.675
0.396	74.524
0.446	78.362
0.496	82.192
0.546	86.014
0.596	89.828
0.646	92.433
0.696	96.235
0.746	100.029
0.796	103.818
0.846	107.600
0.896	111.573
0.946	115.344
0.996	119.108
1.046	122.870
1.096	126.627
1.146	130.379
1.196	134.327
1.246	138.074
1.296	141.818
1.346	145.757
1.396	149.496
1.446	153.233
1.496	156.969
1.546	160.902
1.596	164.638
1.646	168.372
1.696	172.305
1.746	176.041
1.796	179.779
1.846	183.713
1.896	187.453
1.946	191.196
1.996	195.137
2.046	198.884
2.096	202.832
2.146	206.586
2.196	210.342
2.246	214.104
2.296	218.069
2.346	221.840
2.396	225.617
2.446	229.399
2.496	233.387
2.546	237.183
2.596	240.984
2.646	244.793
2.696	18.609
2.746	252.435
2.796	256.268
2.846	18.609
2.896	263.961
2.946	267.619
2.996	271.490
3.046	275.372
3.096	279.060
3.146	282.964
3.196	286.881
3.246	290.603
3.296	0.000
3.346	0.000
3.396	0.000
3.446	0.000
3.496	0.000
3.546	0.000
3.596	0.000
3.646	0.000
3.696	0.000
3.746	0.000
3.796	18.609
3.846	0.000
3.896	0.000
3.946	0.000
3.996	0.000
4.046	0.000
4.096	0.000
4.146	0.000
4.196	0.000
4.246	0.000
4.296	0.000
4.346	0.000
4.396	0.000
4.446	0.000
4.496	0.000
4.546	0.000
4.596	0.000
4.646	0.000
4.696	0.000
4.746	0.000
4.796	0.000
4.846	0.000
4.896	0.000
4.946	0.000
4.996	0.000
5.046	0.000
5.096	0.000
5.146	18.609
5.196	0.000
5.246	18.822
5.296	0.000
5.346	0.000
5.396	0.000
5.446	0.000
5.496	0.000
5.546	0.000
5.596	0.000
5.646	0.000
5.696	0.000
5.746	0.000
5.796	0.000
5.846	0.000
5.896	0.000
5.946	0.000
5.996	0.000
6.046	0.000
6.096	0.000
6.146	0.000
6.196	0.000
6.246	0.000
6.296	0.000
6.346	0.000
6.396	0.000
6.446	0.000
6.496	18.609
